,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
266,San Jose State,35,15,20,.429,0.50,4.05,7,13,7,9,3,9,2525,2568,1415,891,2009,.444,284,818,.347,459,616,.745,333,1190,452,209,106,402,547,2025
267,Santa Clara,34,21,13,.618,13.22,4.25,12,6,12,5,6,5,2786,2481,1375,990,2099,.472,372,973,.382,434,597,.727,383,1290,589,222,102,403,557,2025
268,Seattle,32,14,18,.438,-0.21,-1.35,8,8,9,5,4,11,2254,2125,1280,746,1799,.415,214,663,.323,548,767,.714,347,1099,386,259,102,364,574,2025
269,Seton Hall,32,7,25,.219,-0.26,8.36,2,18,5,11,0,11,1970,2246,1295,708,1770,.400,168,539,.312,386,582,.663,359,996,359,260,108,400,577,2025
270,Siena,32,14,18,.438,-7.46,-7.58,9,11,9,5,4,10,2311,2307,1300,783,1827,.429,239,729,.328,506,681,.743,315,1030,378,219,159,379,518,2025
271,South Alabama,32,21,11,.656,1.52,-4.12,13,5,13,4,8,6,2334,2066,1310,814,1835,.444,273,838,.326,433,615,.704,320,1130,461,299,84,297,430,2025
272,South Carolina,32,12,20,.375,9.89,11.55,2,16,10,8,1,10,2233,2286,1290,741,1735,.427,214,677,.316,537,751,.715,323,1100,405,181,94,396,514,2025
273,South Carolina State,33,20,13,.606,-4.62,-9.05,11,3,10,2,7,10,2624,2324,1330,902,1926,.468,234,647,.362,586,827,.709,408,1165,514,313,116,469,695,2025
274,South Carolina Upstate,32,6,26,.188,-15.67,-2.70,2,14,4,10,2,14,2393,2673,1280,881,1941,.454,222,726,.306,409,606,.675,299,1086,426,242,74,453,618,2025
275,South Dakota,33,19,14,.576,-5.69,-3.49,9,7,14,2,4,11,2812,2763,1320,946,2104,.450,260,811,.321,660,925,.714,393,1179,382,249,110,317,613,2025
276,South Dakota State,32,20,12,.625,2.15,-1.82,11,5,13,1,4,8,2546,2352,1280,913,1937,.471,277,791,.350,443,593,.747,374,1287,451,150,84,386,518,2025
277,South Florida,32,13,19,.406,-2.15,-0.18,6,12,9,6,2,10,2381,2385,1290,842,1899,.443,226,711,.318,471,654,.720,329,1107,460,265,113,355,548,2025
278,Southeast Missouri State,33,21,12,.636,-4.84,-7.80,15,5,12,3,8,7,2442,2212,1330,901,1974,.456,242,726,.333,398,551,.722,278,1093,448,269,119,352,596,2025
279,Southeastern Louisiana,32,18,14,.563,-4.00,-4.67,12,8,8,4,9,8,2324,2232,1290,824,1854,.444,195,592,.329,481,642,.749,349,1147,378,222,74,373,550,2025
280,Southern,32,20,12,.625,-6.83,-7.90,15,3,11,1,9,10,2392,2184,1291,849,1949,.436,212,658,.322,482,721,.669,415,1194,415,309,123,401,595,2025
281,Southern California,35,17,18,.486,12.97,10.86,7,13,12,7,3,7,2685,2611,1410,957,1975,.485,251,687,.365,520,702,.741,300,1110,541,221,107,431,618,2025
282,Southern Illinois,33,14,19,.424,-2.22,1.07,8,12,7,8,5,7,2405,2458,1330,875,1896,.461,222,632,.351,433,641,.676,338,1173,467,207,99,412,558,2025
283,SIU Edwardsville NCAA,34,22,12,.647,-6.12,-7.44,13,7,12,3,7,8,2436,2260,1370,874,2030,.431,249,748,.333,439,655,.670,403,1297,462,226,137,388,560,2025
